,name,location,operationHour,brand
0,인생네컷 문래점,서울 영등포구 경인로79길 13 1층,매일 10:00 ~ 23:00,인생네컷
1,인생네컷 망리단길점,서울 마포구 포은로 109-1,,인생네컷
2,인생네컷 화곡점,서울 강서구 화곡로25길 2,,인생네컷
3,인생네컷 합정 천사곱창로드점,서울 마포구 양화로6길 79,,인생네컷
4,인생네컷 홍대동교점,서울 마포구 홍익로6길 21,,인생네컷
5,인생네컷 홍대 어울림 직영1호점,서울 마포구 어울마당로 79-1,,인생네컷
6,인생네컷 서울연남점,서울 마포구 양화로23길 34 1층,,인생네컷
7,인생네컷 마곡나루점,서울 강서구 마곡중앙로 161-1,,인생네컷
8,인생네컷 신림점,서울 관악구 남부순환로 1598 1층 104호,,인생네컷
9,인생네컷 광명철산점,경기 광명시 오리로856번길 15 1층,,인생네컷
10,인생네컷 노량진점,서울 동작구 노량진로16길 22 1층,매일 00:00 ~ 24:00,인생네컷
11,인생네컷 서울신촌점,서울 서대문구 명물길 46 1층,,인생네컷
12,인생네컷 역곡점,경기 부천시 부일로 734,,인생네컷
13,인생네컷 숙명여대점,서울 용산구 청파로45길 24,,인생네컷
14,인생네컷 샤로수길점,서울 관악구 남부순환로230길 32 1층,,인생네컷
15,인생네컷 부천심곡로드점,경기 부천시 부일로 463 1층,,인생네컷
16,인생네컷 경리단길,서울 용산구 녹사평대로46길 23 2호,매일 00:00 ~ 24:00,인생네컷
17,인생네컷 이수점,서울 동작구 동작대로27길 28 1층,,인생네컷
18,인생네컷 부천중동점,"경기 부천시 석천로183번길 15 1층 106,107호",매일 00:00 ~ 24:00,인생네컷
19,인생네컷 연신내점,서울 은평구 연서로29길 8 1층 101호,매일 00:00 ~ 24:00,인생네컷
20,인생네컷 서울안녕인사동점,서울 종로구 인사동길 49 3층,매일 10:00 ~ 22:00,인생네컷
21,인생네컷 익선동지점,서울 종로구 돈화문로11가길 29 102호,매일 00:00 ~ 24:00,인생네컷
22,인생네컷 강남역1호점,서울 강남구 강남대로106길 7 1층,,인생네컷
23,인생네컷 계산점,인천 계양구 계산새로 71 B동 111호,,인생네컷
24,인생네컷 건대점,서울 광진구 아차산로33길 14,,인생네컷
25,인생네컷 서울안국점,서울 종로구 윤보선길 10 48호,,인생네컷
26,인생네컷 압구정점,서울 강남구 선릉로157길 27 102호,매일 00:00 ~ 24:00,인생네컷
27,인생네컷 서울신사점,서울 강남구 도산대로11길 18 운산빌딩 1호,,인생네컷
28,인생네컷 한양대점,서울 성동구 마조로 25,,인생네컷
29,인생네컷 혜화점,서울 종로구 대명길 42,,인생네컷
30,인생네컷 성수점,서울 성동구 연무장길 39,,인생네컷
31,인생네컷 구월점,인천 남동구 성말로 16,,인생네컷
32,인생네컷 화정점,경기 고양시 덕양구 화신로272번길 48,,인생네컷
33,인생네컷 종로익선동한옥거리점,서울 종로구 수표로28길 17-34,,인생네컷
34,인생네컷 강남역2호점,서울 서초구 서초대로77길 37,,인생네컷
35,인생네컷 경희대점,서울 동대문구 회기로 151-1,,인생네컷
36,인생네컷 송리단길점,서울 송파구 백제고분로45길 17,,인생네컷
37,인생네컷,서울 송파구 충민로 66,,인생네컷
38,인생네컷 노원점,서울 노원구 노해로79길 6-20,,인생네컷
39,인생네컷 쌈지길점,서울 종로구 인사동길 44,,인생네컷
40,인생네컷 잠실신천점,서울 송파구 백제고분로7길 24 1층,,인생네컷
41,인생네컷 인천청라점,인천 서구 청라라임로 57,"월,화,수,목,일 10:00 ~ 01:00",인생네컷
42,인생네컷 강남리저브점,서울 강남구 강남대로102길 20,,인생네컷
43,인생네컷,경기 시흥시 목감남서로 9-33 1층 101호,매일 00:00 ~ 24:00,인생네컷
44,인생네컷 성신여대점,서울 성북구 동소문로22길 36 1층,"토,일 00:00 ~ 24:00",인생네컷
45,인생네컷 시흥은계점,경기 시흥시 은계남로 12 1층 상가동 160호,매일 09:00 ~ 23:00,인생네컷
46,인생네컷 천호점,서울 강동구 천호대로157길 25 1층,매일 09:00 ~ 05:00,인생네컷
47,인생네컷,경기 김포시 김포한강11로 288-32,,인생네컷
48,인생네컷 사우점,경기 김포시 사우중로 82 110호,,인생네컷
49,인생네컷 배곧점,경기 시흥시 서울대학로278번길 61 베니스스퀘어 1층,,인생네컷
50,인생네컷 파주야당점,경기 파주시 소리천로8번길 36 호수프라자2 102호,,인생네컷
51,인생네컷 인천부평점,인천 부평구 부평문화로66번길 21,,인생네컷
52,인생네컷 평촌로데오거리점,경기 안양시 동안구 평촌대로223번길 43 청구랜드 1층,,인생네컷
53,인생네컷 수유점,서울 강북구 한천로139길 39,,인생네컷
54,인생네컷 일산웨스턴돔점,경기 고양시 일산동구 정발산로 31-21 맥클린21,,인생네컷
55,인생네컷 시흥능곡점,경기 시흥시 승지로60번길 17 현대프라자 114호,,인생네컷
56,인생네컷 잠실송파2호점,서울 송파구 백제고분로45길 14 1층,,인생네컷
57,인생네컷 산본점,경기 군포시 산본로323번길 20-21 거성빌딩3차 1층 101호,,인생네컷
58,인생네컷 롯데월드직영점,서울 송파구 올림픽로 240 어드벤처2층 바르셀로나광장,영업시간 매일 10:00 ~ 20:30,인생네컷
59,인생네컷 김포구래점,경기 김포시 김포한강9로 90 성현프라자 1층 110호,,인생네컷
60,인생네컷 은평뉴타운점,서울 은평구 진관3로 33 은평뉴타운 꿈에그린 1층 131호,"토,일 09:00 ~ 24:00",인생네컷
