,name,location,operationHour,brand
0,포토이즘박스 영등포점,서울 영등포구 영등포로50길 11,매일 00:00 ~ 24:00,포토이즘
1,포토이즘박스 망원점,서울 마포구 포은로 88,매일 00:00 ~ 24:00,포토이즘
2,포토이즘박스 우장산점,서울 강서구 강서로45길 42 1층,매일 00:00 ~ 24:00,포토이즘
3,포토이즘박스 상수점,서울 마포구 어울마당로 58 1층,매일 00:00 ~ 24:00,포토이즘
4,포토이즘 연남점,서울 마포구 성미산로29안길 19-4,,포토이즘
5,포토이즘박스 홍대어울림점,서울 마포구 어울마당로 80 1층,매일 00:00 ~ 24:00,포토이즘
6,포토이즘박스 연남점,서울 마포구 동교로 230 1층,매일 00:00 ~ 24:00,포토이즘
7,포토이즘 광명점,경기 광명시 철산로30번길 5 기린빌딩 3층,,포토이즘
8,포토이즘박스 마곡나루역점,서울 강서구 마곡중앙5로 6 145호,매일 00:00 ~ 24:00,포토이즘
9,포토이즘박스 레치키치점,서울 마포구 신촌로2안길 2 지하,매일 00:00 ~ 24:00,포토이즘
10,포토이즘박스 신촌점,서울 서대문구 명물길 26,매일 00:00 ~ 24:00,포토이즘
11,포토이즘박스 철산점,경기 광명시 오리로854번길 21,매일 00:00 ~ 24:00,포토이즘
12,포토이즘박스 신림점,서울 관악구 신림로59길 10,매일 00:00 ~ 24:00,포토이즘
13,포토이즘 부천점,경기 부천시 부천로3번길 48 1층 113호,,포토이즘
14,포토이즘박스 신중동점,경기 부천시 조마루로291번길 56 대성빌딩 104호,매일 00:00 ~ 24:00,포토이즘
15,포토이즘박스 시흥사거리점,서울 금천구 시흥대로52길 24,매일 00:00 ~ 24:00,포토이즘
16,포토이즘박스 샤로수길점,서울 관악구 관악로14길 50,매일 00:00 ~ 24:00,포토이즘
17,포토이즘 이태원점,서울 용산구 보광로59길 40 2층,,포토이즘
18,포토이즘박스 부천역점,경기 부천시 부일로460번길 5 1층,매일 00:00 ~ 24:00,포토이즘
19,포토이즘박스 해방촌점,서울 용산구 신흥로 31,매일 00:00 ~ 24:00,포토이즘
20,포토이즘박스 익선동점,서울 종로구 돈화문로11나길 32 1층,매일 00:00 ~ 24:00,포토이즘
21,포토이즘박스 연신내점,서울 은평구 연서로29길 23,매일 00:00 ~ 24:00,포토이즘
22,포토이즘 강남점,서울 강남구 봉은사로4길 36 운현빌딩 201호,,포토이즘
23,포토이즘 박스 인사동점,서울 종로구 인사동길 52 1층,매일 00:00 ~ 24:00,포토이즘
24,포토이즘 부평점,인천 부평구 부평문화로65번길 12 2층,,포토이즘
25,포토이즘박스 이수점,서울 동작구 동작대로25길 11 1층,매일 00:00 ~ 24:00,포토이즘
26,포토이즘박스 성수점,서울 성동구 서울숲2길 17-2 지하1층,매일 00:00 ~ 24:00,포토이즘
27,포토이즘 건대점,서울 광진구 아차산로29길 19 2층,,포토이즘
28,포토이즘박스 혜화점,서울 종로구 대명길 34 1층,매일 00:00 ~ 24:00,포토이즘
29,포토이즘 시흥점,경기 시흥시 은계번영길 27 시티파크 3층,,포토이즘
30,포토이즘박스 압구정점,서울 강남구 선릉로155길 21,매일 00:00 ~ 24:00,포토이즘
31,포토이즘박스 가로수길점,서울 강남구 강남대로160길 50 1층,매일 00:00 ~ 24:00,포토이즘
32,포토이즘박스 북촌점,서울 종로구 삼청로 71-1,매일 00:00 ~ 24:00,포토이즘
33,포토이즘 송리단길점,서울 송파구 백제고분로45길 30 2층 203호,,포토이즘
34,포토이즘박스 한남점,서울 용산구 이태원로54길 52 1호,매일 00:00 ~ 24:00,포토이즘
35,포토이즘 구월점,인천 남동구 성말로 10,,포토이즘
36,포토이즘박스 부천상동점,경기 부천시 상동로 90 115호,매일 00:00 ~ 24:00,포토이즘
37,포토이즘 일산점,경기 고양시 일산동구 중앙로1275번길 56 2층,,포토이즘
38,포토이즘 안양점,"경기 안양시 만안구 장내로139번길 28 1호 1층, 3층",,포토이즘
39,포토이즘박스 강남점,서울 강남구 강남대로102길 16 까치빌딩 1층,매일 00:00 ~ 24:00,포토이즘
40,포토이즘박스 송리단길점,서울 송파구 백제고분로45길 23,매일 00:00 ~ 24:00,포토이즘
41,포토이즘 산본점,경기 군포시 산본로323번길 16-12 3층,,포토이즘
42,포토이즘박스 강남2호점,서울 서초구 서초대로77길 31 1층,매일 00:00 ~ 24:00,포토이즘
43,포토이즘박스 경희대점,서울 동대문구 회기로 171,매일 00:00 ~ 24:00,포토이즘
44,포토이즘 박스 인천부평점,인천 부평구 부평문화로66번길 23,매일 00:00 ~ 24:00,포토이즘
45,포토이즘 안산점,경기 안산시 단원구 중앙대로 907 4동 4404호,,포토이즘
46,포토이즘박스 건대점,서울 광진구 아차산로29길 7 1층,매일 00:00 ~ 24:00,포토이즘
47,포토이즘박스 범계점,경기 안양시 동안구 평촌대로223번길 42 101호,매일 00:00 ~ 24:00,포토이즘
48,포토이즘 구리점,경기 구리시 안골로97번길 37 2층,영업시간 매일 13:00 ~ 20:00,포토이즘
49,포토이즘박스 송내로데오점,경기 부천시 상일로94번길 21 1층,매일 00:00 ~ 24:00,포토이즘
50,포토이즘박스 청라점,인천 서구 청라라임로 65 106호,매일 00:00 ~ 24:00,포토이즘
51,포토이즘박스 마로니에점,서울 종로구 대학로8가길 111 1층,매일 00:00 ~ 24:00,포토이즘
52,포토이즘박스 수유점,서울 강북구 도봉로87길 32,매일 00:00 ~ 24:00,포토이즘
53,포토이즘 박스 공릉점,서울 노원구 동일로190길 67-5 1층,매일 00:00 ~ 24:00,포토이즘
54,포토이즘박스 세종대점,서울 광진구 동일로30길 51 1층,매일 00:00 ~ 24:00,포토이즘
55,포토이즘박스 고양화정점,경기 고양시 덕양구 화신로272번길 34 1층,매일 00:00 ~ 24:00,포토이즘
56,포토이즘 송도점,인천 연수구 송도과학로16번길 33-2 B동 1층,영업시간 매일 12:30 ~ 20:30,포토이즘
57,포토이즘 수원점,경기 수원시 팔달구 정조로905번길 33,영업시간 매일 13:00 ~ 20:00,포토이즘
