,name,location,operationHour,brand
0,포토시그니처 까치산역점,서울 강서구 강서로13길 3,,포토시그니처
1,포토시그니처 홍대점,서울 마포구 어울마당로 86,매일 00:00 ~ 24:00,포토시그니처
2,포토시그니처 연남점,서울 마포구 양화로 191,매일 00:00 ~ 24:00,포토시그니처
3,포토시그니처 신촌점,서울 서대문구 연세로 24 1층,매일 00:00 ~ 24:00,포토시그니처
4,포토시그니처,서울 종로구 북촌로5길 45 1층,,포토시그니처
5,포토시그니처 부천역점,경기 부천시 부일로 460,,포토시그니처
6,포토시그니처,서울 종로구 대명길 37,,포토시그니처
7,포토시그니처,경기 고양시 일산동구 무궁화로 31-1 1층,,포토시그니처
8,포토시그니처 부천중동점,경기 부천시 석천로183번길 35,매일 00:00 ~ 24:00,포토시그니처
9,포토시그니처강남점,서울 강남구 봉은사로2길 35,,포토시그니처
10,포토시그니처 익선동한옥거리점,서울 종로구 수표로28길 17-6,매일 00:00 ~ 24:00,포토시그니처
11,포토시그니처 부평점,인천 부평구 시장로 21,,포토시그니처
12,포토시그니처 건대점,서울 광진구 동일로22길 95,매일 00:00 ~ 24:00,포토시그니처
13,포토시그니처화정점,경기 고양시 덕양구 화신로272번길 38,,포토시그니처
14,포토시그니처 성수점,서울 성동구 연무장길 50,,포토시그니처
15,포토시그니처범계점,경기 안양시 동안구 평촌대로223번길 52,,포토시그니처
16,포토시그니처 송리단길점,서울 송파구 백제고분로45길 13 102호,매일 10:30 ~ 23:30,포토시그니처
17,포토시그니처 노원역점,서울 노원구 노해로81길 16 1층,매일 00:00 ~ 24:00,포토시그니처
18,포토시그니처 배곧점,경기 시흥시 배곧3로 96 101호,매일 00:00 ~ 24:00,포토시그니처
19,포토시그니처 신포점,인천 중구 개항로 28-2,,포토시그니처
20,포토시그니처중앙점,경기 안산시 단원구 고잔1길 40,,포토시그니처
21,포토시그니처 부평2호점,인천 부평구 경원대로1403번길 16,,포토시그니처
22,포토시그니처 서현점,경기 성남시 분당구 서현로210번길 10 1층,매일 00:00 ~ 24:00,포토시그니처
23,포토시그니처 구리돌다리점,경기 구리시 안골로77번길 47 1층 3호,,포토시그니처
24,포토시그니처 중계점,서울 노원구 한글비석로 250,,포토시그니처
25,포토시그니처 행궁점,경기 수원시 팔달구 신풍로 47,,포토시그니처
26,포토시그니처 의정부역점,경기 의정부시 평화로542번길 22 1층,매일 00:00 ~ 24:00,포토시그니처
27,포토시그니처,경기 화성시 효행로 1052,,포토시그니처
28,포토시그니처 수원역점,경기 수원시 팔달구 향교로 2,매일 00:00 ~ 24:00,포토시그니처
29,포토시그니처 수원영통점,경기 수원시 영통구 청명남로 31 105호,매일 00:00 ~ 24:00,포토시그니처
30,포토시그니처(진접점),경기 남양주시 진접읍 해밀예당1로 30,,포토시그니처
31,포토시그니처오남점,경기 남양주시 오남읍 진건오남로 806-6,,포토시그니처
32,포토시그니처 동탄북광장점,경기 화성시 동탄중심상가2길 7 102호,매일 00:00 ~ 24:00,포토시그니처
33,포토시그니처 용인김량장점,경기 용인시 처인구 금령로85번길 5,,포토시그니처
34,포토시그니처 역북점,경기 용인시 처인구 명지로60번길 8-14,,포토시그니처
35,포토시그니처 동두천점,경기 동두천시 지행로 50,,포토시그니처
