,name,location,operationHour,brand
0,셀픽스 망원점,서울 마포구 포은로 85,,셀픽스
1,셀픽스 합정점,서울 마포구 양화로6길 54 셀픽스,매일 00:00 ~ 24:00,셀픽스
2,셀픽스 홍대점,서울 마포구 와우산로29바길 9 1층 101호,매일 00:00 ~ 24:00,셀픽스
3,셀픽스 연남점,서울 마포구 동교로38길 42,,셀픽스
4,셀픽스 원종점,경기 부천시 소사로 775 1층,금~일 00:00 ~ 24:00,셀픽스
5,셀픽스 샤로수점,서울 관악구 관악로14길 45,,셀픽스
6,셀픽스 부천점,경기 부천시 부천로9번길 28 1층,매일 00:00 ~ 24:00,셀픽스
7,셀픽스 본점,서울 강남구 신사동 648-4,매일 00:00 ~ 24:00,셀픽스
8,셀픽스 안국점,서울 종로구 북촌로 22,,셀픽스
9,셀픽스 혜화점,서울 종로구 대학로11길 31,,셀픽스
10,셀픽스 연무장점,서울 성동구 연무장길 43-1,,셀픽스
11,셀픽스 건대점,서울 광진구 동일로24길 94 1층,,셀픽스
12,셀픽스 부평점,인천 부평구 부평문화로80번길 5,,셀픽스
13,셀픽스 회기점,서울 동대문구 회기로 161,,셀픽스
14,셀픽스 구월점,인천 남동구 예술로 126,,셀픽스
15,셀픽스 송리단길점,서울 송파구 백제고분로45길 25 1층,,셀픽스
16,셀픽스 안양1번가점,경기 안양시 만안구 안양로314번길 10,,셀픽스
17,셀픽스 노원점,서울 노원구 상계로3길 21 화일빌딩 102호,,셀픽스
18,셀픽스 산본점,경기 군포시 산본로323번길 16-7 롯데프라자 1층 104호,,셀픽스
19,셀픽스 시흥아브뉴점,경기 시흥시 서울대학로278번길 8 레드A동 1층 148호,매일 00:00 ~ 24:00,셀픽스
20,셀픽스 분당점,경기 성남시 분당구 황새울로360번길 12,,셀픽스
21,셀픽스 행궁점,경기 수원시 팔달구 정조로 845,,셀픽스
22,셀픽스 중앙역점,경기 안산시 단원구 고잔1길 33 봉산빌딩 1층,,셀픽스
23,셀픽스 의정부점,경기 의정부시 시민로121번길 26-6,,셀픽스
24,셀픽스 다산역점,경기 남양주시 다산중앙로123번길 22-26 다산헤리움그랑비스타1차 107호,매일 08:30 ~ 01:30,셀픽스
25,셀픽스 수원화성행궁점,경기 수원시 팔달구 화서문로46번길 32 1층,,셀픽스
26,셀픽스 용인상현점,경기 용인시 수지구 만현로 100,,셀픽스
27,셀픽스 수원역점,경기 수원시 팔달구 향교로 15-1,,셀픽스
28,셀픽스 양주백석점,경기 양주시 백석읍 양주산성로 564-1 1층 2호,,셀픽스
29,셀픽스 동탄카림점,경기 화성시 동탄대로시범길 134 상가동 1층 53호,매일 00:00 ~ 24:00,셀픽스
30,셀픽스,경기 양평군 양평읍 양평시장길 13,,셀픽스
31,셀픽스,경기 안성시 중앙로 274-26,,셀픽스
32,셀픽스 역북점,경기 용인시 처인구 역북동 756-1,,셀픽스
33,셀픽스 용인외대점,경기 용인시 처인구 모현읍 외대로 32-1 201호,,셀픽스
34,셀픽스 이천점,경기 이천시 어재연로37번길 18,,셀픽스
35,셀픽스 두정점,충남 천안시 서북구 오성로 71,,셀픽스
36,셀픽스 여주점,경기 여주시 여흥로 116,,셀픽스
37,셀픽스,충북 청주시 서원구 내수동로114번길 32 1층,,셀픽스
38,셀픽스 신부점,충남 천안시 동남구 먹거리10길 9,,셀픽스
39,셀픽스 원주점,강원 원주시 장미공원길 75-10,,셀픽스
40,셀픽스 무실점,강원 원주시 능라동길 37,매일 00:00 ~ 24:00,셀픽스
41,셀픽스 남문로점,충북 청주시 상당구 성안로 42-1,,셀픽스
42,셀픽스 충북혁신도시점,충북 음성군 맹동면 대하3길 2,,셀픽스
43,셀픽스 봉명동점,대전 유성구 온천북로13번길 21,,셀픽스
44,셀픽스 공주점,충남 공주시 공주대학로 94-6,,셀픽스
45,셀픽스 유성점,대전 유성구 궁동로18번길 63,,셀픽스
46,셀픽스 둔산점,대전 서구 대덕대로185번길 30,,셀픽스
47,셀픽스 도담점,세종특별자치시 한누리대로 583 109호,,셀픽스
48,셀픽스 청주대점,충북 청주시 청원구 직지대로 890 1층,매일 00:00 ~ 24:00,셀픽스
49,셀픽스 은행점,대전 중구 대종로480번길 39,,셀픽스
50,셀픽스 객리단길점,전북 전주시 완산구 전주객사2길 39,,셀픽스
51,셀픽스 동성로점,대구 중구 동성로5길 6,매일 00:00 ~ 24:00,셀픽스
52,셀픽스 상주점,경북 상주시 중앙로 147 1층 102호,매일 12:00 ~ 24:00,셀픽스
53,셀픽스 수송점,전북 군산시 동수송4길 11,,셀픽스
54,셀픽스 나운동점,전북 군산시 수송로 26,,셀픽스
55,셀픽스 객사점,전북 전주시 완산구 전주객사5길 43-3,,셀픽스
56,셀픽스 전북대점,전북 전주시 덕진구 명륜4길 17 1층,,셀픽스
57,셀픽스 영등점,전북 익산시 하나로11길 22-2 1층,,셀픽스
58,셀픽스 익산대학로점,전북 익산시 동서로19길 81,,셀픽스
59,셀픽스 전주신시가지점,전북 전주시 완산구 홍산중앙로 41,,셀픽스
60,셀픽스 요천동점,전북 김제시 동서로 240-1,,셀픽스
61,셀픽스 정읍점,전북 정읍시 조곡천1길 76,매일 00:00 ~ 24:00,셀픽스
62,셀픽스 동성로 중앙점,대구 중구 동성로5길 62 1층,,셀픽스
63,셀픽스 성서계대점,대구 달서구 계대동문로4길 19,,셀픽스
64,셀픽스 구미원평점,경북 구미시 구미중앙로17길 9,,셀픽스
65,셀픽스 상무지구점,광주 서구 시청로60번길 21-6 106호,,셀픽스
